Date,Open,High,Low,Close,Volume
2007-04-02,81500,83500,81500,83000,1031751
2007-04-03,84000,84000,82300,83300,379854
2007-04-04,83400,83400,81300,81800,611303
2007-04-05,82400,83100,81900,83000,262796
2007-04-06,83000,83000,81100,81800,373131
2007-04-09,81400,81800,80400,81400,350390
2007-04-10,81000,81700,80100,80500,539349
2007-04-11,80700,82500,80700,82000,488509
2007-04-12,82000,82200,80400,82200,486257
2007-04-13,82000,82000,80200,80800,512273
2007-04-16,80000,80600,79600,79900,472646
2007-04-17,80500,80600,79500,79900,466295
2007-04-18,79900,81000,79900,81000,557007
2007-04-19,81300,81300,79500,80300,522193
2007-04-20,80900,80900,78100,79500,1002780
2007-04-23,79500,79500,77900,78500,618625
2007-04-24,78500,78500,76800,77200,1025791
2007-04-25,77200,77300,76100,76600,785076
2007-04-26,76000,76300,74700,75800,1261038
2007-04-27,75100,75800,74200,74300,853480
2007-04-30,74500,75500,74500,75100,308575
2007-05-02,76000,77700,75900,76900,879956
2007-05-03,77900,78400,77300,77700,708889
2007-05-04,78200,78500,77500,78100,540173
2007-05-07,78100,79300,78000,78500,498463
2007-05-08,78300,78300,77400,78200,423295
2007-05-09,77600,79000,77600,78500,291172
2007-05-10,78500,79700,78500,78500,543268
2007-05-11,78000,80400,78000,79900,558287
2007-05-14,81000,82300,80700,81000,739027
2007-05-15,81600,82700,81000,81600,582063
2007-05-16,82300,82600,80600,82300,442726
2007-05-17,82400,82600,81500,82400,387840
2007-05-18,81900,82400,81000,82100,303162
2007-05-21,82000,84800,81900,84700,1046238
2007-05-22,84700,85500,83800,85100,547826
2007-05-23,84400,85400,83400,84100,392791
2007-05-25,83700,84800,83100,84500,249372
2007-05-28,84100,84800,84000,84800,277139
2007-05-29,84100,84700,83300,84300,269484
2007-05-30,83000,83200,81500,83000,1528701
2007-05-31,84100,84300,82900,84200,532972
2007-06-01,83600,84500,83100,83100,317815
2007-06-04,83500,84600,83200,84300,406138
2007-06-05,84800,85000,82400,83400,451530
2007-06-07,83200,84100,82400,83500,472138
2007-06-08,83000,83300,81800,82800,471506
2007-06-11,84000,87900,84000,86600,1502059
2007-06-12,88100,89400,87700,88000,1013042
2007-06-13,87500,88200,86400,88100,310945
2007-06-14,88500,89400,88300,89400,523571
2007-06-15,89000,89400,88200,88700,399508
2007-06-18,90000,91800,90000,91400,699456
2007-06-19,90100,91100,89200,91000,342119
2007-06-20,90900,92300,90100,91200,456570
2007-06-21,90100,91700,89700,91500,340317
2007-06-22,91700,92600,90600,92000,619170
2007-06-25,92800,95200,91200,92300,752253
2007-06-26,91500,92400,89800,91000,524472
2007-06-27,90000,91200,88900,89600,337300
2007-06-28,90000,90600,88200,89700,194652
2007-06-29,90000,90100,87000,87800,474292
2007-07-02,88400,89300,87000,89100,231212
2007-07-03,89200,90900,89200,90500,265954
2007-07-04,91000,93400,90200,92800,625335
2007-07-05,92100,93000,89900,92000,331822
2007-07-06,91100,92100,90400,90900,244262
2007-07-09,90600,93100,88700,90000,598465
2007-07-10,91000,91100,89800,90000,388058
2007-07-11,89300,90600,89000,89000,354549
2007-07-12,89100,90600,88800,89000,533424
2007-07-13,90000,92800,89700,92500,660553
2007-07-16,94500,97800,93500,96100,1131359
2007-07-18,97700,97700,94500,95100,582617
2007-07-19,95600,96600,94100,95300,322034
2007-07-20,95300,98700,95000,98300,483010
2007-07-23,98500,102000,97700,100000,633894
2007-07-24,100000,110000,99700,110000,842748
2007-07-25,106500,108000,102500,102500,1149044
2007-07-26,105500,110500,105500,108500,834421
2007-07-27,104500,104500,98700,102000,986226
2007-07-30,100500,104000,99800,101500,458884
2007-07-31,102500,103000,98400,100000,655827
2007-08-01,100500,102500,92900,95000,884591
2007-08-02,96000,100000,94500,98100,889275
2007-08-03,99900,101000,98000,99500,502901
2007-08-06,96500,98500,96100,98500,455152
2007-08-07,99900,99900,97000,98700,250245
2007-08-08,99500,102000,98100,98100,326113
2007-08-09,97700,99400,95500,95900,557361
2007-08-10,93600,93700,90600,92000,736747
2007-08-13,91500,95000,90500,95000,381386
2007-08-14,95500,95500,93000,95000,439377
2007-08-16,92000,92400,88800,90200,673380
2007-08-17,91500,91500,88700,89700,397255
2007-08-20,92000,96400,91500,96100,644676
2007-08-21,96200,96800,94900,95700,312834
2007-08-22,95700,97400,95000,96000,355405
2007-08-23,97800,100500,97700,98300,637110
2007-08-24,97200,99300,97100,99000,203943
2007-08-27,100500,101500,98000,98600,324351
2007-08-28,98500,98500,94000,94000,498163
2007-08-29,91200,95300,90500,95300,472720
2007-08-30,96500,99200,96200,99100,563257
2007-08-31,98900,101000,98800,101000,367163
2007-09-03,99500,99500,97900,98200,299030
2007-09-04,98100,100000,96000,96000,321872
2007-09-05,97800,99200,96300,96600,315090
2007-09-06,96600,97600,95400,96900,323453
